_id,title,release_year,movie_rating,summary,Up_System
1783,Midnight in the Garden of Good and Evil,1997,6.6,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",CM
1784,Alpha and Omega,2010,5.3,"Two young wolves at opposite ends of their pack's social order are thrown together into a foreign land and need each other to return home, but love complicates everything.",CM
1785,Navy Seals,1990,5.5,A Navy Seal team must set out to destroy a shipment of US-built Stinger missiles that have fallen into terrorist hands.,CM
1786,Wyatt Earp,1994,6.7,The story of Wyatt Earp as he interacts and battles other famous figures of the Wild West era.,CM
1787,The Wood,1999,7.0,"While dealing with a friend's cold feet on his wedding day, a writer reminisces about his youth with his best friends.",CM
1788,Grindhouse,2007,7.6,Quentin Tarantino and Robert Rodriguez's homage to exploitation double features in the 60s and 70s with two back-to-back cult films that include previews of coming attractions between them.,CM
1789,Ernest Goes to Jail,1990,5.4,"Bumbling Ernest P. Worrell is assigned to jury duty, where a crooked lawyer notices a resemblance with crime boss Mr. Nash, and arranges a switch. Nash assumes Ernest's job as a bank ... See full summary&nbsp;",CM
1790,In the Heart of the Sea,2015,6.9,"A recounting of a New England whaling ship's sinking by a giant whale in 1820, an experience that later inspired the great novel Moby-Dick.",CM
1791,Little Man Tate,1991,6.7,"Dede is a sole parent trying to bring up her son Fred. When it is discovered that Fred is a genius, she is determined to ensure that Fred has all the opportunities that he needs, and that ... See full summary&nbsp;",CM
1792,In the Name of the Father,1993,8.1,A man's coerced confession to an IRA bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,CM
1793,Piranha 3D,2010,5.4,"After a sudden underwater tremor sets free scores of the prehistoric man-eating fish, an unlikely group of strangers must band together to stop themselves from becoming fish food for the area's new razor-toothed residents.",CM
1794,The Hills Have Eyes,1977,6.4,"On the way to California, a family has the misfortune to have their car break down in an area closed to the public, and inhabited by violent savages ready to attack.",CM
1795,Logan's Run,1976,6.8,An idyllic science fiction future has one major drawback: life must end at the age of thirty.,CM
1796,Thunderbolt and Lightfoot,1974,7.1,"With the help of an irreverent young sidekick, a bank robber gets his old gang back together to organize a daring new heist.",CM
1797,Enter the Dragon,1973,7.7,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,CM
1798,Fritz the Cat,1972,6.3,A hypocritical swinging college student cat raises hell in a satiric vision of various elements on the 1960s.,CM
1799,Some Like It Hot,1959,8.2,"When two male musicians witness a mob hit, they flee the state in an all-female band disguised as women, but further complications set in.",CM
1800,The November Man,2014,6.3,An ex-C.I.A. operative is brought back in on a very personal mission and finds himself pitted against his former pupil in a deadly game involving high level C.I.A. officials and the Russian President-elect.,CM
1801,Invasion of the Body Snatchers,1978,7.4,"In San Francisco, a group of people discover the human race is being replaced one by one, with clones devoid of emotion.",CM
1802,Kingpin,1996,6.9,"A star bowler whose career was prematurely ""cut off"" hopes to ride a new prodigy to success and riches.",CM
1803,Fright Night,1985,7.1,"A teenager discovers that the newcomer in his neighborhood is a vampire, so he turns to an actor in a television horror show for help dealing with the undead.",CM
1804,Catch-22,1970,7.2,"A man is trying desperately to be certified insane during World War II, so he can stop flying missions.",CM
1805,The Craft,1996,6.3,"A newcomer to a Catholic prep high school falls in with a trio of outcast teenage girls who practice witchcraft, and they all soon conjure up various spells and curses against those who anger them.",CM
1806,Never Back Down,2008,6.6,A frustrated and conflicted teenager arrives at a new high school to discover an underground fight club and meet a classmate who begins to coerce him into fighting.,CM
1807,Season of the Witch,2011,5.4,"Fourteenth century knights transport a suspected witch to a monastery, where monks deduce her powers could be the source of the Black Plague.",CM
1808,Quiz Show,1994,7.5,"A young lawyer, Richard Goodwin, investigates a potentially fixed game show. Charles Van Doren, a big time show winner, is under Goodwin's investigation.",CM
1809,Our Idiot Brother,2011,6.4,A comedy centered on an idealist who barges into the lives of his three sisters.,CM
1810,Gifted,2017,7.6,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",CM
1811,From Russia with Love,1963,7.4,James Bond willingly falls into an assassination plot involving a naive Russian beauty in order to retrieve a Soviet encryption device that was stolen by S.P.E.C.T.R.E.,CM
1812,Thank You for Smoking,2005,7.6,"Satirical comedy follows the machinations of Big Tobacco's chief spokesman, Nick Naylor, who spins on behalf of cigarettes while trying to remain a role model for his twelve-year-old son.",CM
1813,Waking Ned Devine,1998,7.4,"When a lottery winner dies of shock, his fellow townsfolk attempt to claim the money.",CM
1814,The Man Without a Face,1993,6.7,Chuck wants to leave home but can't make the grade for boarding school. Then he finds out the disfigured recluse living nearby is an ex-teacher.,CM
1815,"Sex, Lies, and Videotape",1989,7.2,A sexually repressed woman's husband is having an affair with her sister. The arrival of a visitor with a rather unusual fetish changes everything.,CM
1816,Gorillas in the Mist,1988,7.0,"The story of Dian Fossey, a scientist who came to Africa to study the vanishing mountain gorillas, and later fought to protect them.",CM
1817,The Sweetest Thing,2002,5.1,A girl finds she is forced to educate herself on the etiquette of wooing the opposite sex when she finally meets Mr. Right.,CM
1818,Lottery Ticket,2010,5.0,Kevin Carson is a young man living in the projects who has to survive a three-day weekend after his opportunistic neighbors find out he's holding a winning lottery ticket worth $370 million.,CM
1819,Ghost Dad,1990,4.3,"Elliot Hopper is a widower with three children, he is currently working on a deal. It seems like his wife's illness was very costly and this deal could put them out of the red. However, he ... See full summary&nbsp;",CM
1820,Operation Dumbo Drop,1995,5.0,"To keep the loyalty of a village during the Vietnam war, a U.S. Army officer and his unit struggle to deliver it a live elephant.",CM
1821,Summer Rental,1985,6.3,An overworked air-traffic controller takes his family on a beach vacation but is soon beset by series of mishaps.,CM
1822,The Other Side of Midnight,1977,6.1,A Greek tycoon's mistress tries to track down and find her ex-World War II lover.,CM
1823,FernGully: The Last Rainforest,1992,6.5,"The magical inhabitants of a rainforest fight to save their home, which is threatened by logging and a polluting force of destruction called Hexxus.",CM
1824,Fearless,2006,7.7,"A biography of Chinese Martial Arts Master Huo Yuanjia, who is the founder and spiritual guru of the Jin Wu Sports Federation.",CM
1825,Air Bud,1997,5.2,"A young boy and a talented stray dog with an amazing basketball playing ability become instant friends. Rebounding from his father's accidental death, 12-year-old Josh Framm moves with his ... See full summary&nbsp;",CM
1826,On the Basis of Sex,2018,6.7,"The true story of Ruth Bader Ginsburg, her struggles for equal rights, and the early cases of a historic career that lead to her nomination and confirmation as U.S. Supreme Court Associate Justice.",CM
1827,Fargo,1996,8.1,Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,CM
1828,Unleashed,2005,7.0,A man enslaved by the mob since childhood and raised into behaving like a human attack dog escapes his captors and attempts to start a new life.,CM
1829,Fly Away Home,1996,6.8,A father and daughter decide to attempt to lead a flock of orphaned Canada Geese south by air.,CM
1830,Leap!,2016,6.8,"An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",CM
1831,Don Jon,2013,6.6,"A New Jersey guy dedicated to his family, friends, and church, develops unrealistic expectations from watching porn and works to find happiness and intimacy with his potential true love.",CM
1832,Jesus Christ Superstar,1973,7.3,"Film version of the musical stage play, presenting the last few weeks of Christ's life told in an anachronistic manner.",CM
1833,Sling Blade,1996,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",CM
1834,The Emerald Forest,1985,6.9,"After the son of engineer Bill Markham is abducted by an aboriginal tribe on the edge of the rain forest, the engineer spends the next 10 years searching for him.",CM
1835,Downsizing,2017,5.7,"A social satire in which a man realizes he would have a better life if he were to shrink himself to five inches tall, allowing him to live in wealth and splendor.",CM
1836,The Strangers: Prey at Night,2018,5.2,A family of four staying at a secluded mobile home park for the night are stalked and then hunted by three masked psychopaths.,CM
1837,Elektra,2005,4.7,"Elektra the warrior survives a near-death experience, becomes an assassin-for-hire, and tries to protect her two latest targets, a single father and his young daughter, from a group of supernatural assassins.",CM
1838,15 Minutes,2001,6.1,A homicide detective and a fire marshal must stop a pair of murderers who commit videotaped crimes to become media darlings.,CM
1839,Sparkle,2012,5.7,"In the 1960s, three sisters form a girl group and soon become local sensations with major label interest, but fame becomes a challenge as the close-knit family begins to fall apart.",CM
1840,Ice Princess,2005,6.0,"With the help of her coach, her mom, and the boy who drives the Zamboni machine, nothing can stop Casey (Trachtenberg) from realizing her dream to be a champion figure skater.",CM
1841,In the Heat of the Night,1967,8.0,An African-American police detective is asked to investigate a murder in a racially hostile southern town.,CM
1842,Arlington Road,1999,7.2,A man begins to suspect his neighbors are not what they appear to be and their secrets could be deadly.,CM
1843,Dolores Claiborne,1995,7.4,A big-city reporter travels to the small town where her mother has been arrested for the murder of an elderly woman that she works for as a maid.,CM
1844,Across the Universe,2007,7.4,The music of The Beatles and the Vietnam War form the backdrop for the romance between an upper-class American girl and a poor Liverpudlian artist.,CM
1845,Renaissance Man,1994,6.2,A failed businessman is hired by the army to teach a group of underachieving recruits in order to help them pass basic training.,CM
1846,Quo Vadis,1951,7.2,Fierce Roman commander Marcus Vinicius becomes infatuated with beautiful Christian hostage Lygia and begins questioning the tyrannical leadership of the despot Emperor Nero.,CM
1847,Class Action,1991,6.4,An attorney representing a traumatized accident victim finds that his opponent is a very familiar defense attorney - his own daughter.,CM
1848,Hoffa,1992,6.6,"The story of the notorious American labor union figure Jimmy Hoffa, who organizes a bitter strike, makes deals with members of the organized crime syndicate and mysteriously disappears in 1975.",CM
1849,The Spy Next Door,2010,5.5,"Former C.I.A. spy Bob Ho takes on his toughest assignment to date: looking after his girlfriend's three kids, who haven't exactly warmed to their mom's beau.",CM
1850,Bronco Billy,1980,6.1,"An idealistic, modern-day cowboy struggles to keep his Wild West show afloat in the face of hard luck and waning interest.",CM
1851,Bridget Jones's Baby,2016,6.5,"Bridget's focus on single life and her career is interrupted when she finds herself pregnant, but with one hitch ... she can only be fifty percent sure of the identity of her baby's father.",CM
1852,The People Under the Stairs,1991,6.4,"Two adults and a juvenile break into a house occupied by a brother and sister and their stolen children. There, they must fight for their lives.",CM
1853,Dead Presidents,1995,6.9,"A Vietnam vet adjusts to life after the war while trying to support his family, but the chance of a better life may involve crime and bloodshed.",CM
1854,Hearts in Atlantis,2001,6.9,A widowed mother and her son change when a mysterious stranger enters their lives.,CM
1855,Iron Eagle,1986,5.4,"A young pilot plans a rescue mission when his father, an Air Force Colonel, is shot down over enemy territory and captured.",CM
1856,Lord of War,2005,7.6,An arms dealer confronts the morality of his work as he is being chased by an INTERPOL Agent.,CM
1857,Tinker Tailor Soldier Spy,2011,7.1,"In the bleak days of the Cold War, espionage veteran George Smiley is forced from semi-retirement to uncover a Soviet Agent within MI6.",CM
1858,Clerks II,2006,7.4,A calamity at Dante and Randal's shops sends them looking for new horizons - but they ultimately settle at the fast food empire Mooby's.,CM
1859,The Adventures of Huck Finn,1993,6.2,"In Missouri, during the 1840s, young Huck Finn fearful of his drunkard father and yearning for adventure, leaves his foster family and joins with runaway slave Jim in a voyage down the Mississippi River toward slavery free states.",CM
1860,Lionheart,1990,6.2,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.,CM
1861,Spring Break,1983,4.8,"Two sets of two college guys spend a spring break together in Fort Lauderdale, Florida. There they have lots of fun in and out of the sun.",CM
1862,Body Heat,1981,7.4,"In the midst of a searing Florida heat wave, a woman persuades her lover, a small-town lawyer, to murder her rich husband.",CM
1863,Virtuosity,1995,5.6,"When a virtual reality simulation created using the personalities of multiple serial killers manages to escape into the real world, an ex-cop is tasked with stopping its reign of terror.",CM
1864,Angel Eyes,2001,5.6,"A mysterious man is drawn to a feisty female police officer and a unusual relationship ensues, as not everything is as it seems.",CM
1865,Don't Be Afraid of the Dark,2010,5.6,A young girl sent to live with her father and his new girlfriend believes that she has released creatures from a sealed ash pit in the basement of her new home.,CM
1866,White Boy Rick,2018,6.5,"The story of teenager Richard Wershe Jr., who became an undercover informant for the FBI during the 1980s and was ultimately arrested for drug-trafficking and sentenced to life in prison.",CM
1867,Around the World in 80 Days,2004,5.9,"To win a bet, an eccentric British inventor beside his Chinese valet and an aspiring French artist, embarks on a trip full of adventures and dangers around the world in exactly eighty days.",CM
1868,The Life Aquatic with Steve Zissou,2004,7.3,"With a plan to exact revenge on a mythical shark that killed his partner, Oceanographer Steve Zissou rallies a crew that includes his estranged wife, a journalist, and a man who may or may not be his son.",CM
1869,An Unmarried Woman,1978,7.2,A wealthy woman from Manhattan's Upper East Side struggles to deal with her new identity and her sexuality after her husband of sixteen years leaves her for a younger woman.,CM
1870,Observe and Report,2009,5.8,"Bi-polar mall security guard Ronnie Barnhardt is called into action to stop a flasher from turning shopper's paradise into his personal peep show. But when Barnhardt can't bring the culprit to justice, a surly police detective is recruited to close the case.",CM
1871,Perfect Stranger,2007,5.7,"A journalist goes undercover to ferret out businessman Harrison Hill as her childhood friend's killer. Posing as one of his temps, she enters into a game of online cat-and-mouse.",CM
1872,From Paris with Love,2010,6.5,"In Paris, a young employee in the office of the US Ambassador hooks up with an American spy looking to stop a terrorist attack in the city.",CM
1873,Corky Romano,2001,4.7,The loser son of a Mafia honcho must go undercover for the FBI.,CM
1874,Graduation Day,1981,4.6,A masked killer begins murdering students on the school track team after a track runner dies upon completion of a 30 second 200-meter race.,CM
1875,The Flamingo Kid,1984,6.2,"A recent high school graduate unsure of his future gets a summer job at the Flamingo beach club, and meets the charismatic Phil Brody.",CM
1876,Weird Science,1985,6.6,"Two high school nerds attempt to create the perfect woman, but she turns out to be more than that.",CM
1877,Striking Distance,1993,5.8,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted then to river duty, the killer taunts Tom.",CM
1878,House of Wax,1953,7.1,"An associate burns down a wax museum with the owner inside, but he survives only to become vengeful and murderous.",CM
1879,Tom and Huck,1995,5.6,Two best friends witness a murder and embark on a series of adventures in order to prove the innocence of the man wrongly accused of the crime.,CM
1880,Santa Claus: The Movie,1985,6.2,The legend of Santa Claus is put in jeopardy when an unscrupulous toy manufacturer attempts to take over Christmas.,CM
1881,Good Burger,1997,5.7,"Two dim-witted teenagers are forced to save the fast food restaurant they work at from going out of business, despite a new-and-improved burger joint opening across the street that want to be the ""Top Dog"" in the fast food industry.",CM
1882,Sixteen Candles,1984,7.1,"A girl's ""sweet"" sixteenth birthday becomes anything but special, as she suffers from every embarrassment possible.",CM
1883,The Owl and the Pussycat,1970,6.7,"A stuffy author enters into an explosive relationship with his neighbor, a foul-mouthed, freewheeling prostitute.",CM
1884,Some Kind of Hero,1982,5.7,"A Vietnam vet returns home from a prisoner of war camp and is greeted as a hero, but is quickly forgotten and soon discovers how tough survival is in his own country.",CM
1885,The Best Years of Our Lives,1946,8.1,Three World War II veterans return home to small-town America to discover that they and their families have been irreparably changed.,CM
1886,Two of a Kind,1983,4.8,"When God decides to destroy Earth, four angels aim to redeem mankind through a young man and woman with troubles of their own.",CM
1887,The Wicker Man,2006,3.7,"A sheriff investigating the disappearance of a young girl from a small island discovers there's a larger mystery to solve among the island's secretive, neo-pagan community.",CM
1888,Hot Fuzz,2007,7.9,A skilled London police officer is transferred to a small town with a dark secret.,CM
1889,Night Shift,1982,6.5,"A morgue attendant is talked into running a brothel at his workplace after a deceased pimp is sent there. However, the pimp's killers don't look too kindly on this new 'business', nor does the morgue's owner.",CM
1890,My Blue Heaven,1990,6.3,"An all too uptight FBI agent must protect a larger than life mobster with a heart of gold, currently under witness protection in the suburbs.",CM
1891,The Losers,2010,6.4,"A CIA special forces team are betrayed and left for dead by their superiors, galvanizing them to mount an offensive on the CIA.",CM
1892,How to Make an American Quilt,1995,6.2,Bride-to-be Finn Dodd hears tales of romance and sorrow from her elders as they construct a quilt.,CM
1893,Oscar,1991,6.5,"A gangster attempts to keep the promise he made to his dying father: that he would give up his life of crime and ""go straight"".",CM
1894,Hotel Rwanda,2004,8.1,Paul Rusesabagina was a hotel manager who housed over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda.,CM
1895,Traitor,2008,7.0,"When straight arrow FBI agent Roy Clayton heads up the investigation into a dangerous international conspiracy, all clues seem to lead back to former U.S. Special Operations officer, Samir Horn.",CM
1896,Ernest Goes to Camp,1987,5.5,"Ernest, a lovable loser who works as a summer camp handyman and dreams of becoming a guidance councilor, must find a way to inspire a group of juvenile delinquents as well as stop a shady strip mining company from closing the camp.",CM
1897,Hoodlum,1997,6.3,Black gangsters in 1930 Harlem fights Dutch Schultz who is trying to horn in on their numbers racket.,CM
1898,Boys on the Side,1995,6.4,"Jane is a night club singer, out of work. Robin is a quirky real estate agent looking for a ride-share to accompany her to California. Her advertisement is answered by Jane, who at first ... See full summary&nbsp;",CM
1899,Eight Crazy Nights,2002,5.4,"Davey Stone, an alcoholic with a criminal record, is sentenced to community service under the supervision of an elderly referee. Davey is then faced with trying to reform and abandon his bad habits.",CM
1900,Caligula,1979,5.3,"Details the graphic and shocking, yet undeniably tragic story of Rome's most infamous Caesar, Gaius Germanicus Caligula.",CM
1901,Circle of Friends,1995,6.6,"'Circle Of Friends' is set in 1950's Ireland. The movie focuses on Benny Hogan and her best friend, Eve Malone. The story centers around Benny and Eve as they enter student life at ... See full summary&nbsp;",CM
1902,Endless Love,2014,6.3,The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,CM
1903,Raging Bull,1980,8.2,"The life of boxer Jake LaMotta, as the violence and temper that leads him to the top in the ring destroys his life outside of it.",CM
1904,Ghost Story,1981,6.3,"Two generations of men find themselves haunted by the presence of a spectral woman. When the son of one of the elderly men returns to his hometown after his brother's mysterious death, they attempt to unravel her story.",CM
1905,Leap of Faith,1992,6.1,Fake faith healer Jonas Nightingale is stranded in a small town where he finds he can't fool all of the people all of the time.,CM
1906,Reindeer Games,2000,5.7,"After assuming his dead cellmate's identity to get with the other man's girlfriend, an ex-con finds himself a reluctant participant in a casino heist.",CM
1907,The Usual Suspects,1995,8.6,"A sole survivor tells of the twisty events leading up to a horrific gun battle on a boat, which began when five criminals met at a seemingly random police lineup.",CM
1908,The Avengers,1998,3.7,Two British Agents team up to stop Sir August de Wynter from destroying the world with a weather-changing machine.,CM
1909,Operation Petticoat,1959,7.3,"During World War II, a commander finds himself stuck with a decrepit (and pink) submarine, a con man executive officer, and a group of army nurses.",CM
1910,Auntie Mame,1958,8.0,An orphan goes to live with his free-spirited aunt. Conflict ensues when the executor of his father's estate objects to the aunt's lifestyle.,CM
1911,The Covenant,2006,5.3,"Four young men who belong to a New England supernatural legacy are forced to battle a fifth power long thought to have died out. Meanwhile, jealousy and suspicion threaten to tear them apart.",CM
1912,Kingdom Come,2001,5.7,A group of old family members bands together when a despicable family member thankfully expires.,CM
1913,One True Thing,1998,7.0,A career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.,CM
1914,Faster,2010,6.5,An ex-con gets on a series of apparently unrelated killings. He gets tracked by a veteran cop with secrets of his own and an egocentric hit man.,CM
1915,Agent Cody Banks 2: Destination London,2004,4.5,"With all-new gadgets, high-flying action, exciting chases and a wisecracking new handler, Derek (Anthony Anderson), Cody has to retrieve the device before the world's leaders fall under the evil control of a diabolical villain.",CM
1916,Pompeii,2014,5.5,"A slave-turned-gladiator finds himself in a race against time to save his true love, who has been betrothed to a corrupt Roman Senator. As Mount Vesuvius erupts, he must fight to save his beloved as Pompeii crumbles around him.",CM
1917,Vicky Cristina Barcelona,2008,7.1,"Two girlfriends on a summer holiday in Spain become enamored with the same painter, unaware that his ex-wife, with whom he has a tempestuous relationship, is about to re-enter the picture.",CM
1918,Benny &amp; Joon,1993,7.2,A mentally ill young woman finds her love in an eccentric man who models himself after Buster Keaton.,CM
1919,Monte Carlo,2011,5.8,Three young women vacationing in Paris find themselves whisked away to Monte Carlo after one of the girls is mistaken for a British heiress.,CM
1920,The Iron Giant,1999,8.0,A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,CM
1921,Piglet's Big Movie,2003,6.1,"When Piglet comes up missing his Hundred Acre Wood friends use Piglet's own Book of Memories to find him, discovering along the way just how big a role he's played in their lives.",CM
1922,Match Point,2005,7.6,"At a turning point in his life, a former tennis pro falls for an actress who happens to be dating his friend and soon-to-be brother-in-law.",CM
1923,Stay Alive,2006,5.1,"For a group of teens, the answer to the mysterious death of their old friend lies within the world of an online video game based on the true story of an ancient noblewoman known as the Blood Countess.",CM
1924,Sanctum,2011,5.9,An underwater cave diving team experiences a life-threatening crisis during an expedition to the unexplored and least accessible cave system in the world.,CM
1925,Whiskey Tango Foxtrot,2016,6.6,A journalist recounts her wartime coverage in Afghanistan.,CM
1926,Fighting,2009,5.6,"In New York City, a young counterfeiter is introduced to the world of underground street fighting by a seasoned scam artist, who becomes his manager on the bare-knuckling brawling circuit.",CM
1927,The Players Club,1998,5.8,A woman must contend with rival strippers and her boss in an attempt to make a legitimate living.,CM
1928,Transcendence,2014,6.3,"A scientist's drive for artificial intelligence, takes on dangerous implications when his consciousness is uploaded into one such program.",CM
1929,Bulletproof Monk,2003,5.5,"Based on the very underground comic book, a Tibetan monk becomes a mentor to a young street kid whom he can teach to protect a scroll.",CM
1930,Constellation,2005,3.4,A painter living in exile returns home where his family endured generations of racial violence. There he begins to fantasize the people around him as a series of portraits in order to bury the pain and find something beautiful to feel.,CM
1931,The Program,1993,6.4,"Several players from different backgrounds try to cope with the pressures of playing football at a major university. Each deals with the pressure differently, some turn to drinking, others to drugs, and some to studying.",CM
1932,The Long Riders,1980,7.1,"The origins, exploits and the ultimate fate of the Jesse James gang is told in a sympathetic portrayal of the bank robbers made up of brothers who begin their legendary bank raids because of revenge.",CM
1933,American Gigolo,1980,6.3,"A Los Angeles male escort, who mostly caters to an older female clientle, is accused of a murder which he did not commit.",CM
1934,The Russia House,1990,6.1,An expatriate British publisher unexpectedly finds himself working for British intelligence to investigate people in Russia.,CM
1935,The Remains of the Day,1993,7.9,A butler who sacrificed body and soul to service in the years leading up to World War II realizes too late how misguided his loyalty was to his lordly employer.,CM
1936,"Goodbye, Columbus",1969,6.5,"A Jewish man and a Jewish woman meet and while attracted to each other, find that their worlds are very different. She is the archtypical Jewish American Princess, very emotionally involved... See full summary&nbsp;",CM
1937,D3: The Mighty Ducks,1996,5.4,"The unruly team of hockey misfits grows up a bit and receives scholarships to a prestigious prep school, where they take on the snotty varsity team.",CM
1938,The Care Bears Movie,1985,5.6,The Care Bears watch over a young brother and sister who have lost their trust in humanity. Meanwhile an evil wizard wishes to cover the Earth in concrete.,CM
1939,Love Happens,2009,5.7,"A widower whose book about coping with loss turns him into a best-selling self-help guru, falls for the hotel florist where his seminar is given, only to learn that he hasn't yet truly confronted his wife's passing.",CM
1940,Ella Enchanted,2004,6.3,"Ella is under a spell to be constantly obedient, a fact she must hide from her new step-family in order to protect the prince of the land, her friend for whom she's falling.",CM
1941,Revolutionary Road,2008,7.3,A young couple living in a Connecticut suburb during the mid-1950s struggle to come to terms with their personal problems while trying to raise their two children.,CM
1942,Rounders,1998,7.3,"A young, reformed gambler must return to playing big stakes poker to help a friend pay off loan sharks, while balancing his relationship with his girlfriend and his commitments to law school.",CM
1943,Crimes of the Heart,1986,6.4,"Three sisters with quite different personalities and lives reunite when the youngest of them, Babe, has just shot her husband. The oldest sister, Lenny, takes care of their grandfather and ... See full summary&nbsp;",CM
1944,Guilty as Sin,1993,5.6,"A female lawyer takes an accused wife-murderer as a client, but finds herself morally compelled to betray him one way or another.",CM
1945,Two for the Money,2005,6.2,"After suffering a career-ending knee injury, a former college football star aligns himself with one of the most renowned touts in the sports-gambling business.",CM
1946,Being John Malkovich,1999,7.8,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,CM
1947,Beloved,1998,5.9,"Based on the book by Toni Morrison, in which a slave is visited by the spirit of a mysterious young woman",CM
1948,Raising Arizona,1987,7.4,"When a childless couple of an ex-con and an ex-cop decide to help themselves to one of another family's quintuplets, their lives become more complicated than they anticipated.",CM
1949,Prime,2005,6.2,"A career driven professional from Manhattan is wooed by a young painter, who also happens to be the son of her psychoanalyst.",CM
1950,Missing in Action,1984,5.4,Colonel Braddock launches a mission deep into the jungles of Vietnam to find the POW camp that he escaped from and free the Americans still held captive there.,CM
1951,On Her Majesty's Secret Service,1969,6.8,James Bond woos a mob boss' daughter and goes undercover to uncover the true reason for Blofeld's allergy research in the Swiss Alps that involves beautiful women from around the world.,CM
1952,Frankie and Johnny,1991,6.7,"Johnny has just been released from prison, and gets a job in a caf beside waitress Frankie. Frankie is a bit of a loner, but Johnny is determined their romance will blossom.",CM
1953,Joe Somebody,2001,5.5,"When Joe is beat up by a co-worker in front of his daughter on ""Bring Your Child To Work Day"", he decides to fight back.",CM
1954,Xanadu,1980,5.1,A struggling artist living in Los Angeles meets a girl who may hold the key to his happiness.,CM
1955,The Gallows,2015,4.2,"20 years after a horrific accident during a small town school play, students at the school resurrect the failed show in a misguided attempt to honor the anniversary of the tragedy - but soon discover that some things are better left alone.",CM
1956,The Juror,1996,5.6,A juror in a Mafia trial is forced to convince the other jurors to vote not guilty by an obsessive mob enforcer.,CM
1957,Titan A.E.,2000,6.6,A young man learns that he has to find a hidden Earth ship before an enemy alien species does in order to secure the survival of humanity.,CM
1958,Rudy,1993,7.6,Rudy has always been told that he was too small to play college football. But he is determined to overcome the odds and fulfill his dream of playing for Notre Dame.,CM
1959,Dickie Roberts: Former Child Star,2003,5.6,A thirty-something former child star hires a foster family to re-create the childhood he never had.,CM
1960,Quest for Camelot,1998,6.3,"An adventurous girl, a young blind hermit, and a goofy two-headed dragon race to find the lost sword Excalibur to save King Arthur and Camelot from disaster.",CM
1961,Thunderheart,1992,6.8,A young mixed-blood FBI agent is assigned to work with a cynical veteran investigator on a murder on a poverty-stricken Sioux reservation.,CM
1962,Pure Luck,1991,5.7,"The daughter of a wealthy businessman has disappeared in Mexico, and all the efforts to find her have been unsuccessful. A psychologist, knowing that the girl has an ultra bad luck, ... See full summary&nbsp;",CM
1963,The French Lieutenant's Woman,1981,7.0,"A film is being made of a story, set in 19th century England, about Charles, a biologist who's engaged to be married, but who falls in love with outcast Sarah, whose melancholy makes her ... See full summary&nbsp;",CM
1964,Fighting with My Family,2019,7.5,A former wrestler and his family make a living performing at small venues around the country while his kids dream of joining World Wrestling Entertainment.,CM
1965,My Tutor,1983,5.2,A rich father hires a tutor for his son. The son is a horny teenager and the tutor is a gorgeous blonde. Complications ensue.,CM
1966,"Lt. Robin Crusoe, U.S.N.",1966,6.0,"Lt. Robin Crusoe is a navy pilot who bails out of his plane after engine trouble. He reaches a deserted island paradise where he builds a house, finds an abandoned submarine with lots of ... See full summary&nbsp;",CM
1967,Much Ado About Nothing,1993,7.4,"Young lovers Hero and Claudio, soon to wed, conspire to get verbal sparring partners and confirmed singles Benedick and Beatrice to wed as well.",CM
1968,Babylon A.D.,2008,5.6,Veteran-turned-mercenary Toorop takes the high-risk job of escorting a woman from Russia to America. Little does he know that she is host to an organism that a cult wants to harvest in order to produce a genetically modified Messiah.,CM
1969,My Super Ex-Girlfriend,2006,5.1,"When a regular guy dumps a superhero for her neediness, she uses her powers to make his life a living hell.",CM
1970,The Incredible Burt Wonderstone,2013,5.9,"A veteran Vegas magician tries to revive his career after his longtime partner quits, he gets fired from his casino act, and an edgy new ""street magician"" steals his thunder.",CM
1971,The Black Dahlia,2006,5.6,"Two policemen see their personal and professional lives fall apart in the wake of the ""Black Dahlia"" murder investigation.",CM
1972,Captain Ron,1992,5.7,"A family in Chicago inherits the yacht formerly owned by Clark Gable. They decide to sail it from the island of Ste. Pomme de Terre to Miami, and they sail with the assistance of Captain ... See full summary&nbsp;",CM
