_id,title,release_year,movie_rating,summary,Up_System
94,I Still Know What You Did Last Summer,1998,4.6,"The murderous fisherman with a hook is back to once again stalk the two surviving teens, Julie and Ray, who had left him for dead, as well as cause even more murder and mayhem, this time at a posh island resort.",CM
95,Gone in 60 Seconds,1974,6.5,"When a South American drug lord pays Pace to steal 48 cars for him, all but one is in the bag - thereby, the police precipitate in a desperate car chase against Pace and his Eleanor across Southern California.",CM
96,The Illusionist,2006,7.6,"In turn-of-the-century Vienna, a magician uses his abilities to secure the love of a woman far above his social standing.",CM
97,Caddyshack,1980,7.3,An exclusive golf course has to deal with a brash new member and a destructive dancing gopher.,CM
98,The Ladykillers,2004,6.2,"An eccentric, if not charming Southern professor and his crew pose as a classical ensemble in order to rob a casino, all under the nose of his unsuspecting but sharp old landlady.",CM
99,The Beach,2000,6.6,"Vicenarian Richard travels to Thailand and finds himself in possession of a strange map. Rumours state that it leads to a solitary beach paradise, a tropical bliss. Excited and intrigued, he sets out to find it.",CM
100,Friday the 13th,1980,6.5,"A group of camp counselors are stalked and murdered by an unknown assailant while trying to reopen a summer camp which, years before, was the site of a child's drowning.",CM
101,Epic Movie,2007,2.4,"A comedic satire of films that are large in scope, reputation and popularity.",CM
102,Hitman,2007,6.3,"A gun-for-hire known only as Agent 47 hired by a group known only as 'The Organization' is ensnared in a political conspiracy, which finds him pursued by both Interpol and the Russian military as he treks across Russia and Eastern Europe.",CM
103,Jackie Brown,1997,7.5,A middle-aged woman finds herself in the middle of a huge conflict that will either make her a profit or cost her life.,CM
104,Out for Justice,1991,6.1,The gruesome murder of a Brooklyn Detective will turn the case into a personal vendetta when the deceased's best friend and fellow officer will unleash an all-out attack against a psychotic Mafia enforcer's brutal gang.,CM
105,30 Days of Night,2007,6.6,"After an Alaskan town is plunged into darkness for a month, it is attacked by a bloodthirsty gang of vampires.",CM
106,Conan the Barbarian,1982,6.9,"A young boy, Conan, becomes a slave after his parents are killed and tribe destroyed by a savage warlord and sorcerer, Thulsa Doom. When he grows up he becomes a fearless, invincible fighter. Set free, he plots revenge against Thulsa Doom.",CM
107,Benji,1974,6.2,A stray dog saves two kidnapped children.,CM
108,The Texas Chainsaw Massacre: The Beginning,2006,5.9,"Before being sent to serve in Vietnam, two brothers and their girlfriends take one last road trip, but when they get into an accident, a terrifying experience will take them to a secluded house of horrors, with a chainsaw-wielding killer.",CM
109,Hocus Pocus,1993,6.8,"A curious youngster moves to Salem, where he struggles to fit in before awakening a trio of diabolical witches that were executed in the 17th century.",CM
110,Nobody's Fool,1994,7.4,A stubborn man past his prime reflects on his life of strict independence and seeks more from himself.,CM
111,Little Nicky,2000,5.3,"After two of the devil's three sons escape Hell to wreak havoc on Earth, the devil must send his third son, the mild-mannered Nicky, to bring them back before it's too late.",CM
112,Crazy Heart,2009,7.3,A faded country music musician is forced to reassess his dysfunctional life during a doomed romance that also inspires him.,CM
113,Burlesque,2010,6.4,A small-town girl ventures to Los Angeles and finds her place in a neo-burlesque club run by a former dancer.,CM
114,Joe Versus the Volcano,1990,5.8,"When a hypochondriac learns that he is dying, he accepts an offer to throw himself in a volcano at a tropical island, and along the way there, learns to truly live.",CM
115,Rugrats Go Wild,2003,5.6,"The Rugrats get tangled in an exotic adventure, where they're helped by the Thornberrys, a family that travels the world making nature documentaries.",CM
116,Body of Lies,2008,7.1,A CIA agent on the ground in Jordan hunts down a powerful terrorist leader while being caught between the unclear intentions of his American supervisors and Jordan Intelligence.,CM
117,Dead Man Walking,1995,7.5,"A nun, while comforting a convicted killer on death row, empathizes with both the killer and his victim's families.",CM
118,The Expendables 3,2014,6.1,"Barney augments his team with new blood for a personal battle: to take down Conrad Stonebanks, the Expendables co-founder and notorious arms trader who is hell bent on wiping out Barney and every single one of his associates.",CM
119,Blind Date,1987,5.9,"A workaholic needs a date for a dinner with new important clientele, but who his brother sets him up with could lead to disaster.",CM
120,Second Act,2018,5.8,A big box store worker reinvents her life and her life-story and shows Madison Avenue what street smarts can do.,CM
121,Lakeview Terrace,2008,6.1,"Based on a true story, a troubled and racist African-American L.A.P.D. Officer will stop at nothing to force out a friendly interracial couple who just moved in next door to him.",CM
122,Anna and the King,1999,6.7,"The story of the romance between the King of Siam and widowed British schoolteacher, Anna Leonowens, during the 1860s.",CM
123,Three Amigos!,1986,6.5,"Three actors accept an invitation to a Mexican village to perform their onscreen bandit fighter roles, unaware that it is the real thing.",CM
124,Pitch Black,2000,7.1,"A commercial transport ship and its crew are marooned on a planet full of bloodthirsty creatures that only come out to feast at night. But then, they learn that a month-long eclipse is about to occur.",CM
125,Annie Hall,1977,8.0,Neurotic New York comedian Alvy Singer falls in love with the ditzy Annie Hall.,CM
126,The Adventures of Sharkboy and Lavagirl 3-D,2005,3.5,A young boy is recruited by his imaginary friends Sharkboy and Lavagirl to help save their planet.,CM
127,King Arthur: Legend of the Sword,2017,6.8,"Robbed of his birthright, Arthur comes up the hard way in the back alleys of the city. But once he pulls the sword from the stone, he is forced to acknowledge his true legacy - whether he likes it or not.",CM
128,The Grudge 2,2006,5.0,Three interwoven stories about a terrible curse. A young woman encounters a malevolent supernatural force while searching for her missing sister in Tokyo; a mean high school prank goes horribly wrong; a woman with a deadly secret moves into a Chicago apartment building.,CM
129,The Crazies,2010,6.5,"After a strange and insecure plane crash, an unusual toxic virus enters a quaint farming town. A young couple are quarantined, but they fight for survival along with help from a couple of people.",CM
130,The Sword and the Sorcerer,1982,5.6,A mercenary with a three-bladed sword rediscovers his royal heritage's dangerous future when he is recruited to help a princess foil the designs of a brutal tyrant and a powerful sorcerer in conquering a land.,CM
131,Wonder Park,2019,5.7,Wonder Park tells the story of an amusement park where the imagination of a wildly creative girl named June comes alive.,CM
132,What's Love Got to Do with It,1993,7.3,"The story of singer Tina Turner's rise to stardom and how she gained the courage to break free from her abusive husband, Ike Turner.",CM
133,The Longest Day,1962,7.8,"The events of D-Day, told on a grand scale from both the Allied and German points of view.",CM
134,Something Borrowed,2011,5.9,"Friendships are tested and secrets come to the surface when terminally single Rachel falls for Dex, her best friend Darcy's fianc.",CM
135,Fracture,2007,7.2,"An attorney, intent on climbing the career ladder toward success, finds an unlikely opponent in a manipulative criminal he is trying to prosecute.",CM
136,The Sisterhood of the Traveling Pants,2005,6.5,Four best girlfriends hatch a plan to stay connected with one another as their lives start off in different directions: they pass around a pair of secondhand jeans that fits each of their bodies perfectly.,CM
137,Primary Colors,1998,6.7,A man joins the political campaign of a smooth-operator candidate for president of the USA.,CM
138,The Karate Kid Part III,1989,5.1,"Ostracised villain John Kreese attempts to gain revenge on Daniel and Miyagi, with the help of a Vietnam War comrade, the wealthy owner of a toxic waste disposal business.",CM
139,Earth to Echo,2014,5.8,"After receiving a bizarre series of encrypted messages, a group of kids embark on an adventure with an alien who needs their help.",CM
140,Hot Shots! Part Deux,1993,6.6,"Rambo"" parody in which Topper Harley leads a rescue team into Iraq to save Iraqi war prisoners and all of their previous rescue teams.",CM
141,Romeo and Juliet,1968,7.6,"When two young members of feuding families meet, forbidden love ensues.",CM
142,French Kiss,1995,6.6,"A woman flies to France to confront her straying fianc, but gets into trouble when the charming crook seated next to her uses her for smuggling.",CM
143,The Paper,1994,6.6,"New York City tabloid Editor Henry is faced with tough decisions while he faces several serious life challenges, and a tempting job offer.",CM
144,Brewster's Millions,1985,6.5,"A minor league baseball player has to spend thirty million dollars in thirty days, in order to inherit three hundred million dollars. However, he's not allowed to tell anyone about the deal.",CM
145,Little Shop of Horrors,1986,7.0,A nerdy florist finds his chance for success and romance with the help of a giant man-eating plant who demands to be fed.,CM
146,About Last Night...,1986,6.2,"A man and woman meet and try to have a romantic affair, despite their personal problems and the interference of their disapproving friends.",CM
147,Breakin',1984,5.7,A struggling young jazz dancer meets up with two break-dancers. Together they become the sensation of the street crowds.,CM
148,Stardust,2007,7.7,"In a countryside town bordering on a magical land, a young man makes a promise to his beloved that he'll retrieve a fallen star by venturing into the magical realm.",CM
149,Happy Gilmore,1996,7.0,A rejected hockey player puts his skills to the golf course to save his grandmother's house.,CM
150,The Ghost and the Darkness,1996,6.8,A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,CM
151,The Great Mouse Detective,1986,7.2,"Basil, the rodent Sherlock Holmes, investigates the kidnapping of a toy-maker and uncovers its link to his arch-enemy, Professor Ratigan.",CM
152,On Deadly Ground,1994,4.5,Mystical martial artist/environmental agent takes on a ruthless oil corporation.,CM
153,Surrogates,2009,6.3,"Set in a futuristic world where humans live in isolation and interact through surrogate robots, a cop is forced to leave his home for the first time in years in order to investigate the murders of others' surrogates.",CM
154,Nerve,2016,6.5,"A high school senior finds herself immersed in an online game of truth or dare, where her every move starts to become manipulated by an anonymous community of ""watchers.",CM
155,Sex Tape,2014,5.1,"A married couple wake up to discover that the sex tape they made the evening before has gone missing, leading to a frantic search for its whereabouts.",CM
156,Spy Kids 4-D: All the Time in the World,2011,3.5,"A retired spy is called back into action, and to bond with her new step-children, she invites them along for the adventure to stop the evil Timekeeper from taking over the world.",CM
157,Rock of Ages,2012,5.9,A small town girl and a city boy meet on the Sunset Strip while pursuing their Hollywood dreams.,CM
158,Running Scared,1986,6.5,Two street-wise Chicago cops have to shake off some rust after returning from a Key West vacation to pursue a drug dealer who nearly killed them in the past.,CM
159,Bachelor Party,1984,6.3,A soon-to-be-married man's friends throw him the ultimate bachelor party.,CM
160,Gridiron Gang,2006,6.9,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",CM
161,Midnight Run,1988,7.6,"An accountant is chased by bounty hunters, the F.B.I., and the Mafia after jumping bail.",CM
162,Pride &amp; Prejudice,2005,7.8,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",CM
163,The Terminator,1984,8.0,"A seemingly indestructible android is sent from 2029 to 1984 to assassinate a waitress, whose unborn son will lead humanity in a war against the machines, while a soldier from that war is sent to protect her at all costs.",CM
164,Red Dawn,1984,6.4,"It is the dawn of World War III. In mid-western America, a group of teenagers band together to defend their town, and their country, from invading Soviet forces.",CM
165,47 Ronin,2013,6.3,A band of samurai set out to avenge the death and dishonor of their master at the hands of a ruthless shogun.,CM
166,Last Holiday,2006,6.5,"Upon learning of a terminal illness, a shy woman decides to sell off all her possessions and live it up at a posh European hotel.",CM
167,City Heat,1984,5.5,"A slick private eye and tough police lieutenant--once partners, now bitter enemies--reluctantly team up to investigate a murder.",CM
168,Evolution,2001,6.1,"A fire-fighting cadet, two college professors, and a geeky but sexy government scientist work against an alien organism that has been rapidly evolving since its arrival on Earth inside a meteor.",CM
169,Cruel Intentions,1999,6.8,Two vicious step-siblings of an elite Manhattan prep school make a wager: to deflower the new headmaster's daughter before the start of term.,CM
170,Brooklyn,2015,7.5,"An Irish immigrant lands in 1950s Brooklyn, where she quickly falls into a romance with a local. When her past catches up with her, however, she must choose between two countries and the lives that exist within.",CM
171,Higher Learning,1995,6.5,"People from all different walks of life, encounter racial tension, rape, responsibility, and the meaning of an education on a university campus.",CM
172,Not Another Teen Movie,2001,5.7,A sendup of all the teen movies that have accumulated in the past two decades.,CM
173,Meet the Spartans,2008,2.7,"A spoof of 300 (2006) and many other movies, TV series/shows/commercials, video games and celebrities. King Leonidas of Sparta and his army of 12 go to war against Xerxes of Persia to fight to the death for Sparta's freedom.",CM
174,Undercover Brother,2002,5.8,"When ""The Man"" tries to derail a black candidate's presidential campaign, Undercover Brother and his fellow secret agents come to the rescue.",CM
175,Herbie Rides Again,1974,5.6,The living Volkswagen Beetle helps an old lady protect her home from a corrupt developer.,CM
176,The In-Laws,1979,7.3,"On the eve of their children's marriage, NYC in-laws Sheldon Kornpett and Vince Ricardo embark on a series of misadventures involving the CIA, the Treasury Department and Central American dictators.",CM
177,Mighty Morphin Power Rangers: The Movie,1995,5.2,"A giant egg is unearthed at a construction site and soon opened, releasing the terrible Ivan Ooze, who wreaks vengeance on Zordon for imprisoning him millennia ago. With Zordon dying and their powers lost, the Rangers head to a distant planet to find the mystic warrior Dulcea.",CM
178,Scream 4,2011,6.2,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",CM
179,Treasure Planet,2002,7.1,"A Disney animated version of ""Treasure Island"". The only difference is that the film is set in outer space with alien worlds and other galactic wonders.",CM
180,10 Things I Hate About You,1999,7.3,"A pretty, popular teenager can't go out on a date until her ill-tempered older sister does.",CM
181,The Running Man,1987,6.7,A wrongly convicted man must try to survive a public execution gauntlet staged as a game show.,CM
182,The Doctor,1991,7.0,"When a self-centered doctor is diagnosed with cancer, he becomes better able to empathize with his patients and appreciate a life outside his career.",CM
183,Spaceballs,1987,7.1,A rogue star pilot and his trusty sidekick must come to the rescue of a Princess and save the galaxy from a ruthless race of beings known as Spaceballs.,CM
184,Ninja Assassin,2009,6.4,"A young ninja turns his back on the orphanage that raised him, leading to a confrontation with a fellow ninja from the clan.",CM
185,Rihie Rih,1994,5.3,A rich young boy finds his family targeted in an inside job and must use his cunning to save them.,CM
186,Harold &amp; Kumar Escape from Guantanamo Bay,2008,6.6,"After being mistaken for terrorists and thrown into Guantnamo Bay, stoners Harold and Kumar escape and return to the U.S., where they proceed to flee across the country with federal agents in hot pursuit.",CM
187,Showtime,2002,5.5,"A spoof of buddy cop movies where two very different cops are forced to team up on a new reality based television cop show, while tracking down the manufacturer and distributor of an illegally made semi-automatic firearm.",CM
188,Urban Legend,1998,5.5,A college student suspects a series of bizarre deaths are connected to certain urban legends.,CM
189,Jigsaw,2017,5.8,"Bodies are turning up around the city, each having met a uniquely gruesome demise. As the investigation proceeds, evidence points to one suspect: John Kramer, the man known as Jigsaw, who has been dead for over 10 years.",CM
190,Bill &amp; Ted's Bogus Journey,1991,6.2,A tyrant from the future creates evil android doubles of Bill and Ted and sends them back to eliminate the originals.,CM
191,Dead Again,1991,7.0,"A woman who has lost her memory is taken in by a Los Angeles orphanage, and a private eye is enlisted to track down her identity, but he soon finds that he might have a past life connection to her that endangers their lives.",CM
192,Postcards from the Edge,1990,6.7,A substance-addicted actress tries to look on the bright side even as she is forced to move back in with her mother to avoid unemployment.,CM
193,Seven Years in Tibet,1997,7.0,"True story of Heinrich Harrer, an Austrian mountain climber who became friends with the Dalai Lama at the time of China's takeover of Tibet.",CM
194,40 Days and 40 Nights,2002,5.6,"After a brutal break-up, a young man vows to stay celibate during the forty days of Lent, but finds the girl of his dreams and is unable to do anything about it.",CM
195,First Sunday,2008,4.4,Durell Washington and LeeJohn Jackson are best friends and bumbling petty criminals. When Durell learns that his ex-girlfriend plans to move to another state with their son Durell Jr.--... See full summary&nbsp;,CM
196,The Brothers Grimm,2005,5.9,Will and Jake Grimm are traveling con-artists who encounter a genuine fairy-tale curse which requires true courage instead of their usual bogus exorcisms.,CM
